Date,Open,High,Low,Close,Volume
7/1/2013,57.5271,58.8957,57.3171,58.46,97763400
6/28/2013,55.9086,57.1814,55.5529,56.6471,144629100
6/27/2013,57.0357,57.3414,56.22,56.2543,84311500
6/26/2013,57.7,57.8271,56.5229,56.8671,91931000
6/25/2013,57.9571,58.2557,56.9757,57.5186,78540700
6/24/2013,58.2,58.38,56.8643,57.5057,120186500
6/21/2013,59.7843,60,58.3,59.0714,120279600
6/20/2013,59.9,60.8543,59.31,59.5483,89327700
6/19/2013,61.6286,61.6657,60.4286,60.4286,77735000
6/18/2013,61.6514,62.1286,61.4586,61.6814,48756400
6/17/2013,61.6343,62.2429,61.4802,61.7143,64853600
6/14/2013,62.2,62.3271,61.2143,61.4357,67966500
6/13/2013,61.7857,62.4486,61.25,62.2807,71458100
6/12/2013,62.7857,63.0357,61.6429,61.7414,66306800
6/11/2013,62.2486,63.2514,61.9029,62.5143,71528100
6/10/2013,63.5329,64.1541,62.4,62.6986,112538300
6/7/2013,62.3571,63.32,61.8243,63.1159,101133900
6/6/2013,63.6386,63.8571,62.0071,62.6371,104233500
6/5/2013,63.6643,64.3886,63.3871,63.5871,72647400
6/4/2013,64.7457,64.9186,63.9129,64.1871,73182200
6/3/2013,64.39,64.6229,63.2114,64.3886,93088100
5/31/2013,64.6429,65.3,64.2143,64.2479,96075700
5/30/2013,63.6643,64.9286,63.5014,64.5114,88379900
5/29/2013,62.8571,63.9286,62.7714,63.5643,82644100
5/28/2013,64.2714,64.4443,62.9786,63.0627,96536300
5/24/2013,62.9786,63.6657,62.9086,63.5929,69041700
5/23/2013,62.2786,63.7371,62.2557,63.1629,88255300
5/22/2013,63.4357,64.05,62.6029,63.0506,110759600
5/21/2013,62.5929,63.64,62.0286,62.8086,114005500
5/20/2013,61.7014,63.6857,61.4429,63.2757,112894600
5/17/2013,62.7214,62.87,61.5729,61.8943,106976100
5/16/2013,60.4629,62.55,59.8429,62.0826,150801000
5/15/2013,62.7371,63,60.3371,61.2643,185403400
5/14/2013,64.8357,65.0286,63.1643,63.4086,111779500
5/13/2013,64.5014,65.4143,64.5,64.9629,79237200
5/10/2013,65.4243,65.6729,64.3543,64.71,83713000
5/9/2013,65.6871,66.1429,65.0829,65.2529,99621900
5/8/2013,65.5771,66.4814,65.1157,66.2629,118149500
5/7/2013,66.4243,66.5357,64.8143,65.5226,120938300
5/6/2013,65.1014,66.0286,64.9014,65.8157,124160400
5/3/2013,64.4729,64.7471,64.1643,64.2829,90325200
5/2/2013,63.1114,64.0843,62.9471,63.6457,105457100
5/1/2013,63.4943,63.5614,62.0557,62.7557,126727300
4/30/2013,62.1571,63.6071,61.7243,63.2543,172884600
4/29/2013,60.0643,61.9453,60,61.4457,160081600
4/26/2013,58.5443,59.8241,58.3214,59.6007,191024400
4/25/2013,58.7464,59.1343,58.1429,58.34,96209400
4/24/2013,56.22,59.3214,56.0714,57.9231,242412800
4/23/2013,57.7129,58.3401,56.9729,58.0186,166059600
4/22/2013,56.0914,57.4571,55.8964,56.9529,107480100
4/19/2013,55.4243,57.0857,55.0143,55.79,152318600
4/18/2013,57.8557,57.97,55.6774,56.0071,166574800
4/17/2013,60.0386,60.0857,56.8729,57.5429,236264000
4/16/2013,60.2243,60.9443,60.0814,60.8914,76442800
4/15/2013,61,61.1271,59.9357,59.9786,79380000
4/12/2013,62.0214,62.0214,61.2986,61.4,59653300
4/11/2013,61.96,62.57,61.6,62.0471,82091100
4/10/2013,61.1571,62.4371,60.8586,62.2414,93982000
4/9/2013,60.9086,61.2143,60.3929,60.9971,76653500
4/8/2013,60.6929,61.0714,60.3557,60.8871,75207300
4/5/2013,60.6429,60.7071,59.9543,60.4571,95923800
4/4/2013,61.9657,62.1429,60.75,61.1029,89611900
4/3/2013,61.6243,62.4686,61.4729,61.7129,90804000
4/2/2013,61.0857,62.5914,60.9143,61.3989,132379800
4/1/2013,63.1286,63.3854,61.1057,61.2729,97433000
3/28/2013,64.26,64.5456,63.0886,63.2371,110709900
3/27/2013,65.2086,65.2571,64.39,64.5829,82809300
3/26/2013,66.4914,66.5486,65.79,65.8766,73573500
3/25/2013,66.3843,67.1357,65.9686,66.2257,125283900
3/22/2013,64.94,66.0143,64.73,65.9871,98776300
3/21/2013,64.3171,65.4257,64.3,64.6757,95813900
3/20/2013,65.3457,65.3757,64.2271,64.5829,77165200
3/19/2013,65.6429,65.8529,64.0714,64.9271,131693800
3/18/2013,63.0643,65.3514,63.0286,65.1029,151549300
3/15/2013,62.5614,63.4614,62.4643,63.38,160990200
3/14/2013,61.8329,62.0914,61.4929,61.7857,75968900
3/13/2013,61.2071,62.0714,60.7657,61.1929,101387300
3/12/2013,62.2286,62.6971,61.0814,61.2043,116477900
3/11/2013,61.3928,62.7157,60.7343,62.5529,118559000
3/8/2013,61.4,62.2043,61.23,61.6743,97870500
3/7/2013,60.6429,61.7157,60.1514,61.5117,117118400
3/6/2013,62.0729,62.1786,60.6329,60.8089,115062500
3/5/2013,60.2114,62.17,60.1071,61.592,159608400
3/4/2013,61.1143,61.1714,59.8571,60.0071,145688900
3/1/2013,62.5714,62.5971,61.4257,61.4957,138112100
2/28/2013,63.4357,63.9814,63.0571,63.0571,80628800
2/27/2013,64.0614,64.6343,62.95,63.51,146837600
2/26/2013,63.4029,64.5057,62.5229,64.1386,125374900
2/25/2013,64.8357,65.0171,63.2243,63.2571,93144800
2/22/2013,64.1786,64.5143,63.8,64.4014,82663700
2/21/2013,63.7143,64.1671,63.26,63.7229,111795600
