,Open,High,Close
553,155.97,156.98,156.55
554,156.055,158.0,155.9
555,155.81,156.73,155.84
556,154.97,155.49,155.3
557,154.18,155.44,155.39
558,153.63,153.86,153.48
559,154.01,155.09,154.48
560,154.26,154.45,153.81
561,153.21,154.13,154.12
562,153.89,154.28,153.28
563,153.8,154.7189,154.23
564,151.78,153.92,153.14
565,149.99,151.83,150.55
566,152.02,152.27,151.89
567,155.8,155.8,153.39
568,157.9,158.26,156.07
569,159.51,159.77,158.73
570,160.11,160.5,158.67
571,158.47,160.97,159.88
572,158.99,159.4,158.28
573,159.87,159.96,159.65
574,162.61,163.96,160.86
575,160.5,162.05,161.5
576,160.86,161.15,158.63
577,162.09,162.24,161.26
578,162.71,162.99,161.91
579,163.75,164.25,162.08
580,164.8,164.94,164.05
581,163.64,164.52,164.0
582,163.8,163.89,163.35
583,160.1,163.12,162.91
584,160.14,162.0,161.47
585,159.65,160.56,159.86
586,160.43,160.74,159.27
587,159.07,160.47,159.98
588,158.23,160.0,159.78
589,157.5,157.89,157.21
590,157.86,159.5,157.5
591,160.52,160.71,157.86
592,161.94,162.51,160.95
593,160.66,162.195,161.6
594,159.32,160.21,159.85
595,156.6,158.5728,157.48
596,159.9,160.0,155.32
597,159.26,161.27,161.06
598,158.6,161.83,160.08
599,157.06,158.92,158.81
600,156.07,157.4,156.39
601,157.05,157.21,155.57
602,159.28,159.75,157.14
603,149.1,150.22,150.05
604,149.9,150.33,148.73
605,149.89,150.23,149.5
606,153.75,153.99,150.56
607,153.35,153.93,153.46
608,151.8,153.84,152.74
609,150.58,152.44,152.09
610,149.99,150.44,150.27
611,151.5,151.74,150.34
612,150.48,151.42,151.02
613,149.2,150.13,150.08
614,148.82,150.9,149.56
615,147.97,149.33,149.04
616,145.5,148.49,147.77
617,145.87,146.18,145.74
618,144.73,145.85,145.53
619,144.11,145.95,145.06
620,142.9,144.75,144.18
621,143.02,143.5,142.73
622,143.69,144.79,144.09
623,144.88,145.3,143.5
624,144.45,144.96,144.02
625,144.71,145.13,143.68
626,144.49,146.11,145.83
627,145.01,146.16,143.73
628,147.17,148.28,145.82
629,145.13,147.16,146.28
630,145.77,146.7,145.63
631,145.52,146.0693,145.87
632,146.87,146.87,145.01
633,143.66,146.74,146.34
634,143.78,144.5,142.27
635,143.32,144.4798,144.29
636,147.5,147.5,145.16
637,147.16,147.45,146.59
638,145.74,146.09,145.42
639,155.19,155.19,148.98
640,155.25,155.54,154.99
641,155.02,155.98,155.37
642,153.9,155.81,154.45
643,154.34,154.45,153.93
644,153.58,155.45,155.45
645,153.17,153.33,153.18
646,153.97,154.17,152.76
647,153.42,154.43,153.67
648,154.0,154.24,153.61
649,153.73,154.35,153.87
650,153.84,154.17,153.34
651,154.9,154.9,153.8
652,154.0,154.58,153.99
653,153.38,153.98,153.06
654,151.27,153.34,152.54
655,153.6,154.57,150.25
656,155.94,156.06,155.47
657,156.01,156.65,155.7
658,154.7,156.42,156.1
659,152.45,154.07,153.95
660,153.63,153.94,153.26
661,153.87,154.88,153.99
662,149.03,153.7,153.01
663,146.76,148.98,148.96
664,146.52,147.14,146.53
665,145.59,147.49,147.06
666,147.54,148.09,147.51
667,145.1,147.2,146.58
668,144.09,144.3,143.65
669,143.9225,144.16,143.79
670,144.47,144.6,143.68
671,143.91,144.9,144.53
672,143.5,143.95,143.64
673,142.44,142.68,142.27
674,141.22,142.92,142.44
675,141.88,142.0,140.68
676,141.41,142.04,141.2
677,141.48,141.88,141.83
678,141.91,142.38,141.05
679,141.6,142.15,141.8
680,142.94,143.35,141.63
681,143.6,143.8792,143.17
682,143.73,144.18,143.34
683,144.29,144.52,143.66
684,144.22,145.46,144.02
685,143.25,144.89,144.77
686,143.71,144.12,143.7
687,143.72,144.27,143.66
688,144.19,144.5,143.93
689,143.68,144.49,144.12
690,140.91,144.04,143.8
691,139.39,141.22,140.88
692,141.5,141.74,140.64
693,141.26,141.5844,140.92
694,139.845,141.6,141.42
695,142.11,142.8,139.84
696,140.4,141.5,141.46
697,141.0,141.0,139.99
